5;0,1,2,3,0
20;0,1,10,3,2,4,5,7,6,8,11,9,15,12,13,4,16,18,17,14
10;0,1,2,3,4,5,6,7,8,8
14;0,1,2,3,4,5,6,7,8,9,10,11,12,0
14;0,1,2,3,4,5,6,7,8,9,10,11,12,1
14;0,1,2,3,4,5,6,7,8,9,10,11,12,2
14;0,1,2,3,4,5,6,7,8,9,10,11,12,3
14;0,1,2,3,4,5,6,7,8,9,10,11,12,4
14;0,1,2,3,4,5,6,7,8,9,10,11,12,5
14;0,1,2,3,4,5,6,7,8,9,10,11,12,6
14;0,1,2,3,4,5,6,7,8,9,10,11,12,7
14;0,1,2,3,4,5,6,7,8,9,10,11,12,8
14;0,1,2,3,4,5,6,7,8,9,10,11,12,9
14;0,1,2,3,4,5,6,7,8,9,10,11,12,10
14;0,1,2,3,4,5,6,7,8,9,10,11,12,11
14;0,1,2,3,4,5,6,7,8,9,10,11,12,12

